Field	Value
dependency.h5py.version	3.14.0
dependency.hictkpy.version	1.3.0
dependency.numpy.version	2.3.1
dependency.packaging.version	25.0
dependency.pandas.version	2.3.1
dependency.scipy.version	1.16.0
dependency.structlog.version	25.4.0
duration_ms	103074.812875
host.arch	x86_64
library.name	stripepy
meta.signal_type	trace
name	call
os.type	linux
os.version	6.11.0-1015-azure
params.constrain_heights	false
params.contact_map_format	mcool
params.contact_map_raw_interactions	true
params.contact_map_resolution	20000
params.genomic_belt	5000000
params.glob_pers_min	0.04
params.k	3
params.loc_pers_min	0.33
params.loc_trend_min	0.25
params.max_width	100000
params.nproc	4
process.runtime.description	GCC 12.2.0
process.runtime.name	CPython
process.runtime.version	3.13.5
Sample Rate	1
service.name	stripepy
service.version	1.1.1.dev73+g2e13fec
span.kind	internal
span.num_events	0
span.num_links	0
status_code	1
telemetry.sdk.language	python
telemetry.sdk.name	opentelemetry
telemetry.sdk.version	1.34.1
trace.span_id	4b6f5534c8aec420
trace.trace_id	30b4804d781557f552d15dec8270fca8
type	internal
